"PSTATABB
State abbreviation","PNAME
Plant name","OPRNAME
Plant operator name","LAT
Plant latitude","LON
Plant longitude","PLGENACL
Plant 2000 annual coal net generation (MWh)","PLGENAOL
Plant 2000 annual oil net generation (MWh)","PLGENAGS
Plant 2000 annual gas net generation (MWh)","PLGENANC
Plant 2000 annual nuclear net generation (MWh)","PLGENAHY
Plant 2000 annual hydro net generation (MWh)","PLGENABM
Plant 2000 annual biomass/ wood net generation (MWh)","PLGENAWI
Plant 2000 annual wind net generation (MWh)","PLGENASO
Plant 2000 annual solar net generation (MWh)","PLGENAGT
Plant 2000 annual geothermal net generation (MWh)","PLGENAOF
Plant 2000 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)"
AK,TESORO ALASKA PETROLEUM,Tesoro Corp,60.0656,151.6719,0.0,57.5,46782.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,TETLIN,Alaska Power Co,64.8557,146.2789,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,TOGIAK,Alaska Village Elec Coop Inc,58.2710,156.6659,0.0,2370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,TOK,Alaska Power Co,64.8557,146.2789,0.0,11674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,TOKSOOK BAY,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,TUNUNAK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,UNALAKLEET,Matanuska Electric Assn Inc,62.2729,149.7143,0.0,4117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,UNISEA INCORPORATED G 2,Unisea Inc,51.9961,175.5654,0.0,23592.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,UNIVERSITY OF ALASKA FAIRBANKS,University of Alaska,64.8557,146.2789,42991.8,7156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,UTILITY PLANTS SECTION,U S Army,64.8557,146.2789,87641.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,VALDEZ,Copper Valley Elec Assn Inc,61.4602,144.9163,0.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,WALES,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,WESTWARD SEAFOODS INC,Westward Seafoods Inc,51.9961,175.5654,0.0,17409.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,WHALE PASS,Alaska Power Co,55.5135,132.0062,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,WRANGELL,Wrangell City of,56.5405,132.8194,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,YAKUTAT,Yakutat Power Inc,58.6026,136.6848,0.0,8378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
